setting,rounds,local_epochs,final_roc_auc,final_accuracy,total_network_communication_kb,round_history
Federated_IID,5,1,0.635749,0.605381,4.6875,"[{""round"": 1, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 480, ""download_bytes"": 480, ""total_communication_bytes"": 960}, {""round"": 2, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 960, ""download_bytes"": 960, ""total_communication_bytes"": 1920}, {""round"": 3, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1440, ""download_bytes"": 1440, ""total_communication_bytes"": 2880}, {""round"": 4, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1920, ""download_bytes"": 1920, ""total_communication_bytes"": 3840}, {""round"": 5, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 2400, ""download_bytes"": 2400, ""total_communication_bytes"": 4800}]"
Federated_IID,5,5,0.635749,0.605381,4.6875,"[{""round"": 1, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 480, ""download_bytes"": 480, ""total_communication_bytes"": 960}, {""round"": 2, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 960, ""download_bytes"": 960, ""total_communication_bytes"": 1920}, {""round"": 3, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1440, ""download_bytes"": 1440, ""total_communication_bytes"": 2880}, {""round"": 4, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1920, ""download_bytes"": 1920, ""total_communication_bytes"": 3840}, {""round"": 5, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 2400, ""download_bytes"": 2400, ""total_communication_bytes"": 4800}]"
Federated_IID,5,10,0.635749,0.605381,4.6875,"[{""round"": 1, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 480, ""download_bytes"": 480, ""total_communication_bytes"": 960}, {""round"": 2, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 960, ""download_bytes"": 960, ""total_communication_bytes"": 1920}, {""round"": 3, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1440, ""download_bytes"": 1440, ""total_communication_bytes"": 2880}, {""round"": 4, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1920, ""download_bytes"": 1920, ""total_communication_bytes"": 3840}, {""round"": 5, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 2400, ""download_bytes"": 2400, ""total_communication_bytes"": 4800}]"
Federated_IID,10,1,0.635749,0.605381,9.375,"[{""round"": 1, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 480, ""download_bytes"": 480, ""total_communication_bytes"": 960}, {""round"": 2, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 960, ""download_bytes"": 960, ""total_communication_bytes"": 1920}, {""round"": 3, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1440, ""download_bytes"": 1440, ""total_communication_bytes"": 2880}, {""round"": 4, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1920, ""download_bytes"": 1920, ""total_communication_bytes"": 3840}, {""round"": 5, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 2400, ""download_bytes"": 2400, ""total_communication_bytes"": 4800}, {""round"": 6, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 2880, ""download_bytes"": 2880, ""total_communication_bytes"": 5760}, {""round"": 7, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 3360, ""download_bytes"": 3360, ""total_communication_bytes"": 6720}, {""round"": 8, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 3840, ""download_bytes"": 3840, ""total_communication_bytes"": 7680}, {""round"": 9, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 4320, ""download_bytes"": 4320, ""total_communication_bytes"": 8640}, {""round"": 10, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 4800, ""download_bytes"": 4800, ""total_communication_bytes"": 9600}]"
Federated_IID,10,5,0.635749,0.605381,9.375,"[{""round"": 1, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 480, ""download_bytes"": 480, ""total_communication_bytes"": 960}, {""round"": 2, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 960, ""download_bytes"": 960, ""total_communication_bytes"": 1920}, {""round"": 3, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1440, ""download_bytes"": 1440, ""total_communication_bytes"": 2880}, {""round"": 4, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1920, ""download_bytes"": 1920, ""total_communication_bytes"": 3840}, {""round"": 5, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 2400, ""download_bytes"": 2400, ""total_communication_bytes"": 4800}, {""round"": 6, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 2880, ""download_bytes"": 2880, ""total_communication_bytes"": 5760}, {""round"": 7, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 3360, ""download_bytes"": 3360, ""total_communication_bytes"": 6720}, {""round"": 8, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 3840, ""download_bytes"": 3840, ""total_communication_bytes"": 7680}, {""round"": 9, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 4320, ""download_bytes"": 4320, ""total_communication_bytes"": 8640}, {""round"": 10, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 4800, ""download_bytes"": 4800, ""total_communication_bytes"": 9600}]"
Federated_IID,10,10,0.635749,0.605381,9.375,"[{""round"": 1, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 480, ""download_bytes"": 480, ""total_communication_bytes"": 960}, {""round"": 2, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 960, ""download_bytes"": 960, ""total_communication_bytes"": 1920}, {""round"": 3, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1440, ""download_bytes"": 1440, ""total_communication_bytes"": 2880}, {""round"": 4, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1920, ""download_bytes"": 1920, ""total_communication_bytes"": 3840}, {""round"": 5, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 2400, ""download_bytes"": 2400, ""total_communication_bytes"": 4800}, {""round"": 6, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 2880, ""download_bytes"": 2880, ""total_communication_bytes"": 5760}, {""round"": 7, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 3360, ""download_bytes"": 3360, ""total_communication_bytes"": 6720}, {""round"": 8, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 3840, ""download_bytes"": 3840, ""total_communication_bytes"": 7680}, {""round"": 9, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 4320, ""download_bytes"": 4320, ""total_communication_bytes"": 8640}, {""round"": 10, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 4800, ""download_bytes"": 4800, ""total_communication_bytes"": 9600}]"
Federated_IID,20,1,0.635749,0.605381,18.75,"[{""round"": 1, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 480, ""download_bytes"": 480, ""total_communication_bytes"": 960}, {""round"": 2, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 960, ""download_bytes"": 960, ""total_communication_bytes"": 1920}, {""round"": 3, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1440, ""download_bytes"": 1440, ""total_communication_bytes"": 2880}, {""round"": 4, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1920, ""download_bytes"": 1920, ""total_communication_bytes"": 3840}, {""round"": 5, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 2400, ""download_bytes"": 2400, ""total_communication_bytes"": 4800}, {""round"": 6, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 2880, ""download_bytes"": 2880, ""total_communication_bytes"": 5760}, {""round"": 7, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 3360, ""download_bytes"": 3360, ""total_communication_bytes"": 6720}, {""round"": 8, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 3840, ""download_bytes"": 3840, ""total_communication_bytes"": 7680}, {""round"": 9, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 4320, ""download_bytes"": 4320, ""total_communication_bytes"": 8640}, {""round"": 10, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 4800, ""download_bytes"": 4800, ""total_communication_bytes"": 9600}, {""round"": 11, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 5280, ""download_bytes"": 5280, ""total_communication_bytes"": 10560}, {""round"": 12, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 5760, ""download_bytes"": 5760, ""total_communication_bytes"": 11520}, {""round"": 13, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 6240, ""download_bytes"": 6240, ""total_communication_bytes"": 12480}, {""round"": 14, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 6720, ""download_bytes"": 6720, ""total_communication_bytes"": 13440}, {""round"": 15, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 7200, ""download_bytes"": 7200, ""total_communication_bytes"": 14400}, {""round"": 16, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 7680, ""download_bytes"": 7680, ""total_communication_bytes"": 15360}, {""round"": 17, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 8160, ""download_bytes"": 8160, ""total_communication_bytes"": 16320}, {""round"": 18, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 8640, ""download_bytes"": 8640, ""total_communication_bytes"": 17280}, {""round"": 19, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 9120, ""download_bytes"": 9120, ""total_communication_bytes"": 18240}, {""round"": 20, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 9600, ""download_bytes"": 9600, ""total_communication_bytes"": 19200}]"
Federated_IID,20,5,0.635749,0.605381,18.75,"[{""round"": 1, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 480, ""download_bytes"": 480, ""total_communication_bytes"": 960}, {""round"": 2, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 960, ""download_bytes"": 960, ""total_communication_bytes"": 1920}, {""round"": 3, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1440, ""download_bytes"": 1440, ""total_communication_bytes"": 2880}, {""round"": 4, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1920, ""download_bytes"": 1920, ""total_communication_bytes"": 3840}, {""round"": 5, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 2400, ""download_bytes"": 2400, ""total_communication_bytes"": 4800}, {""round"": 6, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 2880, ""download_bytes"": 2880, ""total_communication_bytes"": 5760}, {""round"": 7, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 3360, ""download_bytes"": 3360, ""total_communication_bytes"": 6720}, {""round"": 8, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 3840, ""download_bytes"": 3840, ""total_communication_bytes"": 7680}, {""round"": 9, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 4320, ""download_bytes"": 4320, ""total_communication_bytes"": 8640}, {""round"": 10, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 4800, ""download_bytes"": 4800, ""total_communication_bytes"": 9600}, {""round"": 11, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 5280, ""download_bytes"": 5280, ""total_communication_bytes"": 10560}, {""round"": 12, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 5760, ""download_bytes"": 5760, ""total_communication_bytes"": 11520}, {""round"": 13, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 6240, ""download_bytes"": 6240, ""total_communication_bytes"": 12480}, {""round"": 14, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 6720, ""download_bytes"": 6720, ""total_communication_bytes"": 13440}, {""round"": 15, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 7200, ""download_bytes"": 7200, ""total_communication_bytes"": 14400}, {""round"": 16, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 7680, ""download_bytes"": 7680, ""total_communication_bytes"": 15360}, {""round"": 17, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 8160, ""download_bytes"": 8160, ""total_communication_bytes"": 16320}, {""round"": 18, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 8640, ""download_bytes"": 8640, ""total_communication_bytes"": 17280}, {""round"": 19, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 9120, ""download_bytes"": 9120, ""total_communication_bytes"": 18240}, {""round"": 20, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 9600, ""download_bytes"": 9600, ""total_communication_bytes"": 19200}]"
Federated_IID,20,10,0.635749,0.605381,18.75,"[{""round"": 1, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 480, ""download_bytes"": 480, ""total_communication_bytes"": 960}, {""round"": 2, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 960, ""download_bytes"": 960, ""total_communication_bytes"": 1920}, {""round"": 3, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1440, ""download_bytes"": 1440, ""total_communication_bytes"": 2880}, {""round"": 4, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 1920, ""download_bytes"": 1920, ""total_communication_bytes"": 3840}, {""round"": 5, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 2400, ""download_bytes"": 2400, ""total_communication_bytes"": 4800}, {""round"": 6, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 2880, ""download_bytes"": 2880, ""total_communication_bytes"": 5760}, {""round"": 7, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 3360, ""download_bytes"": 3360, ""total_communication_bytes"": 6720}, {""round"": 8, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 3840, ""download_bytes"": 3840, ""total_communication_bytes"": 7680}, {""round"": 9, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 4320, ""download_bytes"": 4320, ""total_communication_bytes"": 8640}, {""round"": 10, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 4800, ""download_bytes"": 4800, ""total_communication_bytes"": 9600}, {""round"": 11, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 5280, ""download_bytes"": 5280, ""total_communication_bytes"": 10560}, {""round"": 12, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 5760, ""download_bytes"": 5760, ""total_communication_bytes"": 11520}, {""round"": 13, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 6240, ""download_bytes"": 6240, ""total_communication_bytes"": 12480}, {""round"": 14, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 6720, ""download_bytes"": 6720, ""total_communication_bytes"": 13440}, {""round"": 15, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 7200, ""download_bytes"": 7200, ""total_communication_bytes"": 14400}, {""round"": 16, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 7680, ""download_bytes"": 7680, ""total_communication_bytes"": 15360}, {""round"": 17, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 8160, ""download_bytes"": 8160, ""total_communication_bytes"": 16320}, {""round"": 18, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 8640, ""download_bytes"": 8640, ""total_communication_bytes"": 17280}, {""round"": 19, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 9120, ""download_bytes"": 9120, ""total_communication_bytes"": 18240}, {""round"": 20, ""accuracy"": 0.605381, ""roc_auc"": 0.635749, ""upload_bytes"": 9600, ""download_bytes"": 9600, ""total_communication_bytes"": 19200}]"
Federated_Site_NonIID,5,1,0.612882,0.591928,18.75,"[{""round"": 1, ""accuracy"": 0.591928, ""roc_auc"": 0.612882, ""upload_bytes"": 1920, ""download_bytes"": 1920, ""total_communication_bytes"": 3840}, {""round"": 2, ""accuracy"": 0.591928, ""roc_auc"": 0.612882, ""upload_bytes"": 3840, ""download_bytes"": 3840, ""total_communication_bytes"": 7680}, {""round"": 3, ""accuracy"": 0.591928, ""roc_auc"": 0.612882, ""upload_bytes"": 5760, ""download_bytes"": 5760, ""total_communication_bytes"": 11520}, {""round"": 4, ""accuracy"": 0.591928, ""roc_auc"": 0.612882, ""upload_bytes"": 7680, ""download_bytes"": 7680, ""total_communication_bytes"": 15360}, {""round"": 5, ""accuracy"": 0.591928, ""roc_auc"": 0.612882, ""upload_bytes"": 9600, ""download_bytes"": 9600, ""total_communication_bytes"": 19200}]"
