feature,Centralized_Baseline,Federated_IID,Federated_Site_NonIID
cat__HANDEDNESS_CATEGORY_Ambi,0.005481329338702902,0.0033577137992403657,0.00096814041341211
cat__HANDEDNESS_CATEGORY_L,0.021028534331631488,0.022086668407888664,0.003990788372527362
cat__HANDEDNESS_CATEGORY_L->R,0.00044870093034688195,7.667845088017936e-05,5.037014945002202e-06
cat__HANDEDNESS_CATEGORY_Mixed,0.003164553059600034,0.000527788111121609,0.0001703764539611144
cat__HANDEDNESS_CATEGORY_R,0.03768366430679874,0.038074208534554656,0.024808580035389768
cat__SEX_1,0.049982617890348295,0.045811816354238505,0.017354024606306296
cat__SEX_2,0.05120990818597397,0.04762741680710422,0.03408766049083841
num__AGE_AT_SCAN,0.013854413271099335,0.013023983645104766,0.10505278631087693
num__FIQ,0.26989171259196776,0.26245338861088424,0.18535924538366963
num__PIQ,0.0778140689834972,0.14514771516537067,0.07661497958774714
num__VIQ,0.1709325663460138,0.2273074002071532,0.20562284509011922
