site,sample_count,local_roc_auc,local_accuracy,global_roc_auc,global_accuracy
CALTECH,9,0.5,0.5555555555555556,0.49999999999999994,0.5555555555555556
CMU,5,0.33333333333333337,0.4,0.5,0.6
KKI,10,0.6666666666666666,0.7,0.6190476190476191,0.5
LEUVEN_1,3,0.5,0.6666666666666666,0.5,0.6666666666666666
LEUVEN_2,7,1.0,0.7142857142857143,1.0,0.7142857142857143
MAX_MUN,8,0.6666666666666667,0.5,0.16666666666666669,0.75
NYU,44,0.6645833333333333,0.6136363636363636,0.6604166666666667,0.6136363636363636
OHSU,7,0.8333333333333333,0.7142857142857143,0.9166666666666666,0.7142857142857143
OLIN,8,0.5,0.625,0.41666666666666663,0.375
PITT,12,0.22857142857142856,0.25,0.4857142857142857,0.5833333333333334
SBL,6,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666
SDSU,6,0.0,0.16666666666666666,0.4,0.6666666666666666
STANFORD,8,0.08333333333333331,0.25,0.0,0.375
TRINITY,7,0.7,0.2857142857142857,0.6000000000000001,0.42857142857142855
UCLA_1,18,0.6125,0.5,0.7374999999999999,0.6666666666666666
UCLA_2,6,0.888888888888889,0.8333333333333334,0.888888888888889,0.8333333333333334
UM_1,24,0.6993006993006993,0.5416666666666666,0.6783216783216783,0.5416666666666666
UM_2,7,0.41666666666666663,0.2857142857142857,0.25,0.42857142857142855
USM,20,0.59375,0.5,0.5416666666666666,0.55
YALE,8,0.8,0.75,0.8666666666666667,0.75
